source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates
Chapter 12 (Kids Version),Benjamin Buscuit,benjamin-buscuit,,Individual,published,"Position: Computer Tech

RESIDENT OF: FOOD TOWN

FOOD RELATION: BUSCUIT

A grumpy computer technician that fixes most of the town’s local electronics. His brother is the town’s electrician while his sister is the town’s local plumber. Although they are different forms of food, they were born together.",Kids,Kids,,,
Chapter 12 (Kids Version),Mr. Harold Hotdog,mr-harold-hotdog,,Individual,published,"Position: Lawyer

RESIDENT OF: FOOD TOWN

FOOD RELATION: HOT DOG

One of the town’s most reputable lawyers. Harold speaks in an Asian accent and uses his world traveling experiences to represent his clients in a formidable matter. He wears a pocket watch and a one eyed cover glass.",Kids,Kids,,,
Chapter 12 (Kids Version),Ms. Cupcakepiton,ms-cupcakepiton,,Individual,published,"Position: Richest Woman In Sweets Valley

RESIDENT OF: SWEETS VALLEY

FOOD RELATION: CUPCAKE

A loud laughing cupcake looking woman who lives in the most prestigious neighborhood in Sweets Valley. She owns several estates and talk in a snobby rich 17th century English voice.",Kids,Kids,,,
Chapter 12 (Kids Version),Lidia Letuchah,lidia-letuchah,,Individual,published,"Position: Airport Worker

RESIDENT OF: FOOD TOWN

FOOD RELATION: LETTUCE

Lidia Letuchah is a Hispanic firecracker. With attitude and sass to match. She comes from the islands and works at the town’s airport.",Kids,Kids,,,
Chapter 12 (Kids Version),Tonya Thanving,tonya-thanving,,Individual,published,"Position: Local Dress Shop Owner

RESIDENT OF: FOOD TOWN

FOOD RELATION: TURKEY THIGH

Tonya Thanving is a wholesome woman. She is proud and has a thing for summer days. Owner of a local dress shop, Tonya gives frequent advice to locals about how to dress even if they don’t ask.",Kids,Kids,,,
Chapter 12 (Kids Version),Chancellor Chickenbroth,chancellor-chickenbroth,,Individual,published,"Position: Chancellor

RESIDENT OF: FOOD TOWN

FOOD RELATION: CHICKEN LEG

Chancellor Chickenbroth is the town’s chancellor. He is old and wise and has a deep southern accent. His long robes signals power. Power that not even the Mayor dares to stand up against",Kids,Kids,,,
Chapter 12 (Kids Version),Donald Donutmaker,donald-donutmaker,,Individual,published,"Position: Police Officer

RESIDENT OF: FOOD TOWN

FOOD RELATION: DONUT

Donald is a police officer who despises being one. Mostly because the other guys on the force looks at him with the thoughts of turning him into a snack. To disturb this thought he brings them other delicious morsels.",Kids,Kids,,,
Chapter 12 (Kids Version),Iris Icewell,iris-icewell,,Individual,published,"Position: Bank Retailer

RESIDENT OF: FOOD TOWN

FOOD RELATION: ICE CREAM

Iris is the snappy bank tailor with a British Accent and New Yorker attitude. She has long nails and sits daily behind a glass window at the town’s local bank. She has the hots for Craig Creamcake mostly because he is a businessman.",Kids,Kids,,,
Chapter 12 (Kids Version),Winslow Whipportae`,winslow-whipportae,,Individual,published,"Position: Theme Park Worker

RESIDENT OF: FOOD TOWN

FOOD RELATION: WHIPCREAM

Winslow is a chill associate who works at the local theme park. He assists customers on rides and at times can be seen dancing to his headphones.",Kids,Kids,,,
Chapter 12 (Kids Version),Carla Creamcake,carla-creamcake,,Individual,published,"Position: Bakery Assistant

RESIDENT OF: FOOD TOWN

FOOD RELATION: CAKE

Carla Creamcake is the wife to Craig Creamcake. She is tall and has dough for hair. She loves to bake and runs her family’s establishment when Craig is away. Otherwise she uses her spare time to make secret cakes for someone very special to the town.",Kids,Kids,,,
Chapter 12 (Kids Version),Craig Creamcake,craig-creamcake,,Individual,published,"Position: Bakery Owner

RESIDENT OF: FOOD TOWN

FOOD RELATION: CAKE

Craig Creamcake is the town’s baker. He uses special herbs to spice up his desserts while also making desserts named after famous celebrities. His bakery is the largest and most famous out of Food Town.",Kids,Kids,,,
Chapter 12 (Kids Version),Kelly Ketchup,kelly-ketchup,,Individual,published,"Position: Crime Lord

RESIDENT OF: FOOD TOWN

FOOD RELATION: KETCHUP

Fast talking ace of Carl Cardon’s mafia group. She has long red hair and is shaped like a ketchup bottle. She uses her looks to get her and the gang into numerous high profile places. She talks with a strong New Yorker accent.",Kids,Kids,,,
Chapter 12 (Kids Version),Michael “Money” Mustard,michael-money-mustard,,Individual,published,"Position: Crime Lord

RESIDENT OF: FOOD TOWN

FOOD RELATION: MUSTARD

One of the gang member’s part of Carl Cardon’s mafia group. Thinking about money at all times, he was released from prison just before it burned down. With him being the prime suspect. He is a most wanted criminal and works from his safe haven near the docks of Food Town.",Kids,Kids,,,
Chapter 12 (Kids Version),Monty Mayonaise,monty-mayonaise,,Individual,published,"Position: Swim Club Owner & Mafia Member

RESIDENT OF: FOOD TOWN

FOOD RELATION: MAYONAISE

One of the gang member’s part of Carl Cardon’s mafia group. He is the brains behind most of the operations often seen talking to Carl about plans to take over the city. When he is by himself he enjoys swimming and runs a swimming club at the edge of town overlooking the beach.",Kids,Kids,,,
Chapter 12 (Kids Version),Sonya Spaghetti,sonya-spaghetti,,Individual,published,"Position: Dance Instructor

RESIDENT OF: FOOD TOWN

FOOD RELATION: SPAGHETTI

A skilled dancer and teacher at the local dance studio. Her stringy body allows her to do numerous dance styled techniques including ballet. Sonya has a deep southern accent and smells like sauce.",Kids,Kids,,,
Chapter 12 (Kids Version),Ricky Rice,ricky-rice,,Individual,published,"Position: Runner At Expresso High

RESIDENT OF: FOOD TOWN

FOOD RELATION: RICE

Running track for Expresso High. He is the closest friend to Ellis Éclair. His dreams is to be a pro runner with already winning several gold medals. He has a scholarship to a major university.",Kids,Kids,,,
Chapter 12 (Kids Version),Cindy Cuccumber,cindy-cuccumber,,Individual,published,"Position: Student

RESIDENT OF: FOOD TOWN

FOOD RELATION: CUCCUMBER

Cindy has a dull personality. Wearing glasses and launches an attitude when someone stares at her. She is usually quiet and reads a lot of books.",Kids,Kids,,,
Chapter 12 (Kids Version),Luna Lasagna,luna-lasagna,,Individual,published,"Position: Restaurant Owner

RESIDENT OF: FOOD TOWN

FOOD RELATION: LASAGNA

Luna loves to cook, she uses her own special made sauces and always looks for inspiration to make a new dish. Her restaurant is the most famous in Food town.",Kids,Kids,,,
Chapter 12 (Kids Version),Perry Pearrinnis,perry-pearrinnis,,Individual,published,"Position: Singer

RESIDENT OF: FOOD TOWN

FOOD RELATION: PEAR

Perry is the town’s award winning singer. Traveling to foreign places to perform his hits. He created the city’s theme song and plays it at major festivals. His attitude is similar to pop stars of the 1950s.",Kids,Kids,,,
Chapter 12 (Kids Version),The Little Grapes,the-little-grapes,,Individual,published,"Position: Children Of Gary Grapes

RESIDENT OF: FOOD TOWN

FOOD RELATION: GRAPES

Children to Gary Grape, loud, obnoxious, and often considered brats. These children are the reasons behind Gary’s numerous headaches which he complains about. They come in different sizes and colors and each with a different personality. Although they look the same.",Kids,Kids,,,
Chapter 12 (Kids Version),Gary Grape,gary-grape,,Individual,published,"Position: Farmer

RESIDENT OF: FOOD TOWN

FOOD RELATION: GRAPE

Gary Grape is a depressed farmer whose crops are always missing something. To his best of knowledge he can’t find out what. Although the town loves his fruit that he grows and the fact that the town depends on his crops. He is somewhat of a perfectionist and shows it through his constant reworking his farmlands.",Kids,Kids,,,
Chapter 12 (Kids Version),Andrew Applington,andrew-applington,,Individual,published,"Position: Boat Owner

RESIDENT OF: FOOD TOWN

FOOD RELATION: APPLE

Andrew is the wild child, he is brother to Anna Applington and was the suave guy with the ladies when he was young. He loved to play the guitar and sit on his twenty year old boat which he won gambling. He returned to Food town in search of something mysterious believing the mayor to have it.",Kids,Kids,,,
Chapter 12 (Kids Version),Candice Cranberry,candice-cranberry,,Individual,published,"Position: Teacher

RESIDENT OF: FOOD TOWN

FOOD RELATION: CRANBERRY

Candice is close friends with Anna Applington. The two grew up together and has always been quite fond of teaching. With their classrooms side by side, the two usually chat with each other between lessons and during lunch. Candice is jolly and has a thing for Anna’s brother.",Kids,Kids,,,
Chapter 12 (Kids Version),Anna Applington,anna-applington,,Individual,published,"Position: Teacher

RESIDENT OF: FOOD TOWN

FOOD RELATION: APPLE JUICE

A school teacher at the town’s middle school. Anna is called the nicest and yet strictness teacher at school. She loves to learn and to think of numerous things to share with her class. She is bright and loves her students.",Kids,Kids,,,
Chapter 12 (Kids Version),Sunny Orangedelight,sunny-orangedelight,,Individual,published,"RESIDENT OF: FOOD TOWN

FOOD RELATION: ORANGE JUICE

Sunny Orangedelight is bubbly and always seen in a sunny personality hence his name. He loves to whistle and dance whenever he can. His famous saying is “Life is like Oranges, you have to keep peeling until you get to the good stuff.”",Kids,Kids,,,
Chapter 12 (Kids Version),Cary Coffee,cary-coffee,,Individual,published,"Position: Server

RESIDENT OF: FOOD TOWN

FOOD RELATION: COFFEE

Cary is an artist who dreams of leaving Food Town for bigger locations although Food Town is the largest place in her region. She also loves to draw fantasy styled dresses and her perfect prince. She day dreams in public often at work.",Kids,Kids,,,
Chapter 12 (Kids Version),Patty Pancake,patty-pancake,,Individual,published,"Position: Town’S Gossip

RESIDENT OF: FOOD TOWN

FOOD RELATION: PANCAKE

Patty Pancake is one of the town’s biggest gossip, often providing the latest scoop to Dorma Dish. Patty is shaped like a pancake with chocolate for eyes and wears an apron. She loves to laugh and whisper. She lives in a syrup bottled styled house.",Kids,Kids,,,
Chapter 12 (Kids Version),Dorma Dish,dorma-dish,,Individual,published,"Position: Reporter

RESIDENT OF: FOOD TOWN

FOOD RELATION: FORK

The town’s reporter, Dorma has the scoop on everything within Food Town and Sweets Valley. She comes from a long line of reporters with a mural of her family over her fireplace. She is talkative often annoying others while also speaking really fast to the point where it makes people dizzy.",Kids,Kids,,,
Chapter 12 (Kids Version),Petey Pie,petey-pie,,Individual,published,"Position: Student At Expresso High

RESIDENT OF: SWEETS VALLEY

FOOD RELATION: PIE

Petey Pie is a sweet boy who loves to play musical instruments. He has two alter egos both of which are opposite completely of him. Whenever he becomes his rock and roll self he is wacky and only hangs with the hottest girls. When he is playing the piano he is relaxed and mellow. When normal he is the stereotypical hippy with a pie shaped boy.",Kids,Kids,,,
Chapter 12 (Kids Version),Ellis Eclaire,ellis-eclaire,,Individual,published,"Position: Basketball Player At School

RESIDENT OF: SWEETS VALLEY

FOOD RELATION: éclair

Ellis Eclaire is a schoolboy that attends Expresso High. He is the school’s stereotypical basketball star. He is chocolate based and dark toned color and resemblance to a walking eclaire. He is also the star of many of the school’s games and usually is seen with screaming girls around him. He loves to smile, play basketball, eat, and sleep.",Kids,Kids,,,
Chapter 12 (Kids Version),Petunia Pecania,petunia-pecania,,Individual,published,"Position: Taxi Driver

RESIDENT OF: FOOD TOWN

FOOD RELATION: PECAN

A kind taxi driver that interrogates individuals who gets inside of her taxi. Although she simply ask questions. She is usually very nosey and serves as a medium to her passengers.",Kids,Kids,,,
Chapter 12 (Kids Version),Bobbie Berryworth,bobbie-berryworth,,Individual,published,"Position: Train Operator

RESIDENT OF: FOOD TOWN

FOOD RELATION: BLACKBERRY

After the building of the train system throughout Food Town. Bobbie was the first appointed train driver of the longest train route throughout Food Town.",Kids,Kids,,,
Chapter 12 (Kids Version),Paris Perrycworth,paris-perrycworth,,Individual,published,"Position: Transit Authority Manager

RESIDENT OF: FOOD TOWN

FOOD RELATION: PEACH

Pushing for the Food town Train Authority to be built. Since its creation, Paris has been appointed the authority figure over the trains and buses that runs throughout the town. He is a plump man like a peach.",Kids,Kids,,,
Chapter 12 (Kids Version),Kiki Limepie,kiki-limepie,,Individual,published,"Position: Bus Operator

RESIDENT OF: FOOD TOWN

FOOD RELATION: KEY LIME PIE

A fun going bus driver in Food Town. She is everyone’s favorite bus driver and is an overly happy person. Her body is shaped just like a Key Limepie with the stereotypical African American Woman personality and voice.",Kids,Kids,,,
Chapter 12 (Kids Version),Onya Onionspice,onya-onionspice,,Individual,published,"Position: Chef

RESIDENT OF: FOOD TOWN

FOOD RELATION: ONION

Onya is the town’s local chef. She owns several restaurants and is in talks to build several new ones in Candy Village across the bridge. Onya is one of the wealthiest people within Food town.",Kids,Kids,,,
Chapter 12 (Kids Version),Peruth Patato,peruth-patato,,Individual,published,"Position: Architect

RESIDENT OF: FOOD TOWN

FOOD RELATION: POTATO

Originally from Fine China Islands, he has a distinct Caribbean accent. With French fries for hair, his outfit is that of a typical Reggae singer.",Kids,Kids,,,
Chapter 12 (Kids Version),Huck Huckleberry,huck-huckleberry,,Individual,published,"Position: Council Member & Hunter

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: HUCKLEBERRY

Using his influences across the world, Huck is the prominent figure in town when it comes to legal matters. In his spare time he loves to hunt.",Kids,Kids,,,
Chapter 12 (Kids Version),Patrick St. Popcorn,patrick-st-popcorn,,Individual,published,"Position: Theatre Owner

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: POPCORN

Patrick has a strong Irish accent and uses his background to make many movies which he plays in his popular theatre. His theatre is the most popular theatre out of the Fine China Islands.",Kids,Kids,,,
Chapter 12 (Kids Version),Sherrie Strawberry,sherrie-strawberry,,Individual,published,"Position: Herbologist

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: STRAWBERRY

Sherrie is the local Herbologist for Fine China Islands and Food town. She is a walking talking strawberry with a streak personality. With her passion for wild plants, she often could be seen talking to them.",Kids,Kids,,,
Chapter 12 (Kids Version),Shonda Sweet,shonda-sweet,,Individual,published,"Position: Student

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: SWEET POTATO

Shonda is a student at Fine China Islands Middle School. She is kind and the school’s valedictorian. Her goals are always set high because she only strives for the best in everything. A real go getter, Shonda uses her resources to complete task fully and on time.",Kids,Kids,,,
Chapter 12 (Kids Version),Serena Sodapop,serena-sodapop,,Individual,published,"Position: Student

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: SODA

Serena Sodapop is a bubbly student at Fine China Islands Middle School. She is daughter of Pep and Coka Sodapop.",Kids,Kids,,,
Chapter 12 (Kids Version),Wallis Whoppie,wallis-whoppie,,Individual,published,"Position: COP

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: WHOOPIE PIE

The town’s best cop, Wallis enforces the law no matter of the situation. Believing that no one is above the law. Wallis uses most of his time sitting around eating donuts and enforces ridiculous rules to pedestrians.",Kids,Kids,,,
Chapter 12 (Kids Version),Chingy Crabblue,chingy-crabblue,,Individual,published,"Position: Writer

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: BLUE CRABS

Chingy Crabblue speaks in a quiet Australian accent. Although not much is known about his past, he reveals a lot about his present through stories that he writes.",Kids,Kids,,,
Chapter 12 (Kids Version),Smith Islandpie,smith-islandpie,,Individual,published,"Position: Sports Director

RESIDENT OF: FINE CHINA ISLAND

FOOD RELATION: SMITH ISLAND PIE

Smith Islandpie is Fine China Islands’ own sports chief. Whenever something sporty comes to the islands or when a major sport is taking place. He is there usually the one cheering or leading the team.",Kids,Kids,,,
Chapter 12 (Kids Version),Monique Muffintop,monique-muffintop,,Individual,published,"Position: Principal At Fine China Elementary School

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: CORN MUFFIN

Monique Muffintop is Fine China Islands’ principal of Fine China Elementary school. She reads a lot and hates disciplining children.",Kids,Kids,,,
Chapter 12 (Kids Version),Kidman Kranberry,kidman-kranberry,,Individual,published,"Position: Sheriff

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: CRANBERRY

The local sheriff of Fine China Islands, Kidman Kranberry holds his badge high. He worships the law and upholds it at all cost.",Kids,Kids,,,
Chapter 12 (Kids Version),Norman Navybean,norman-navybean,,Individual,published,"Position: Navy Seal Captain

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: BAKED NAVY BEAN

A navy seal, Norman Navybean speaks like a true general and is the most honest man you could meet. He loves to fish and has a strong bond with his fellow seals.",Kids,Kids,,,
Chapter 12 (Kids Version),Brett Bostonpie,brett-bostonpie,,Individual,published,"Position: Businessman

RESIDENT OF: FINE CHINA ISLANDS

FOOD RELATION: BOSTON CREAM PIE

Brett Bostonpie is a wealthy businessman who uses his influence to build extravagant hotels across the Fine China Islands.",Kids,Kids,,,
Chapter 12 (Kids Version),The Royal Guard,the-royal-guard,,Individual,published,Riven Happenings,Kids,Kids,,,
Chapter 12 (Kids Version),Prince of Mushroom Valley,prince-of-mushroom-valley,,Individual,published,Kohan Mushroom,Kids,Kids,,,
Chapter 12 (Kids Version),Prince Faren,prince-faren,,Individual,published,"Note: Prince of Fairy Village

Prince Faren is the handsome prince that has been placed in a terrible sickness and will die unless a cure is found.",Kids,Kids,,,
Chapter 12 (Kids Version),Sir Will Castings,sir-will-castings,,Individual,published,"Love interest to Queen Annabelle. A cold hearted prince that only wants power. Once a good guy that developed a crush on Annabelle, he turned against her believing that she was in love with his brother.",Kids,Kids,,,
Chapter 12 (Kids Version),Sir Walter Doogood,sir-walter-doogood,,Individual,published,Half-brother to Sir Will Castings and loving natured compared to his older brother. Seen by many as the next ruler to Jerule. He moved away from the kingdom when his brother waged war against Queen Annabelle and her kingdom.,Kids,Kids,,,
Chapter 12 (Kids Version),Sir Gallihad Mistakes,sir-gallihad-mistakes,,Individual,published,"A clumsy king who is loving, intelligent, and very handsome however not a favorite amongst his people. He meets Princess Lurella who he abducts in order to protect her against an evil wizard bent on taking over her land. The two eventually falls in love.",Kids,Kids,,,
Chapter 12 (Kids Version),Jon Lu Callihad,jon-lu-callihad,,Individual,published,An evil wizard bent on taking over Princess Lurella’s kingdom and land from her. He uses a large size wand to abrupt time and space and steals things from different dimensions in order make himself more powerful.,Kids,Kids,,,
Chapter 12 (Kids Version),The Laughing King,the-laughing-king,,Individual,published,"An honorable king that laughs at just about anything, a curse set on him by an angry deity from his past. He was transformed back into a kid and fell in love with Fairygood Weather.",Kids,Kids,,,
Chapter 12 (Kids Version),Kelter,kelter,,Individual,published,"Servant to Jon Lu Callihad and his apprentice. He often performs powerful spells although fails at besting Callihad even though he tries to steal his wand. Although he breaks away from Callihad for a moment, he secretly adores him and just wants to prove himself worthy.",Kids,Kids,,,
Chapter 12 (Kids Version),Princess of Dream World,princess-of-dream-world,,Individual,published,"Princess Riza is a young free-spirited girl who has long blue hair laced with pearls given to her by her mother. She is happy to support her parents for the coronation which she is about to be made the next queen after her mother steps down. However, things go wrong, and her parents go missing and it’s up to her to stop her evil aunt from taking the throne.",Kids,Kids,,,
Chapter 12 (Kids Version),Princess Domina,princess-domina,,Individual,published,"Note: Princess of Tower Central

Princess Domina is a red hair firecracker who knows what she wants and won’t stop till she gets it. Proud and humble at the same time. She is on a mission to awake her father who has been placed under a sleeping spell by her wicked stepmother. Domina must travel through Mushroom Valley to find a magical mushroom that will help awake her father so that they can overthrow her stepmother before it’s too late.",Kids,Kids,,,
Chapter 12 (Kids Version),Princess of Fairytale City,princess-of-fairytale-city,,Individual,published,"Princess Fiarra is the next in line to take over the duties of a fairy godmother. She is smart and calculates everything she does. She meets a handsome prince who is sick and the two falls in love. As she is set for her own responsibilities, she must balance saving her one true love and to become the next fairy godmother.",Kids,Kids,,,
Chapter 12 (Kids Version),Lady Antivail,lady-antivail,,Individual,published,A powerful sorceress that was turned back into a young girl who barely understands her abilities in an attempt by her evil uncle who also practices magic to gaining power over her kingdom.,Kids,Kids,,,
Chapter 12 (Kids Version),Princess Cassandra,princess-cassandra,,Individual,published,"A popular blonde-haired girl with everything she has always wanted including next in line to become queen. However, a dance at her famous ball (ball of the century) turns her into a fighting warrior that must save her prince Akalen from being overthrown in his own kingdom.",Kids,Kids,,,
Chapter 12 (Kids Version),Queen Annabelle,queen-annabelle,,Individual,published,The youngest queen of her lineage. She inherited her thrown when her parents and older brother all were killed at sea. She developed a crush on her prince but found out that he was only after her thrown and now it is up to her to stop him or lose everything that is left of her family.,Kids,Kids,,,
Chapter 12 (Kids Version),Impress Lurella,impress-lurella,,Individual,published,"Beautiful, smart, and always up for something new. She loves animals and everything that glitters like gold. One day while out in her gardens, she is abducted which sends her kingdom into a frenzy trying to find her. Along the way the guy that abducts her turns out to be her one true love.",Kids,Kids,,,
Chapter 12 (Kids Version),The Wicked Womena,the-wicked-womena,,Individual,published,A powerful witch that betrayed her one true love and has since dived into the darkest arts. Set to overthrow her niece Princess Riza and take over the future thrown of Dream Land.,Kids,Kids,,,
Chapter 12 (Kids Version),Stepmother Golda,stepmother-golda,,Individual,published,"Bent on ruling her husband’s kingdom at any cost. She had an affair with her husband’s brother and while the brother was exile she remained after lying saying she was raped by him. Feeling sorry for him. King Odelion remained by her side and the two married a week later. Since she has been in love with power and grew into a wicked woman with desire to become sole power over the kingdom. However, her step daughter Princess Domina is the only thing standing in her way.",Kids,Kids,,,
Chapter 12 (Kids Version),Enchantress Kina,enchantress-kina,,Individual,published,"Distant relative to the fairies, this evil Dark Fairy has made stories around her evil ways and now she is attempting to overthrow Fairytale City to become the most powerful and dominant fairy.",Kids,Kids,,,
Chapter 12 (Kids Version),Mr. Zierre,mr-zierre,,Individual,published,Evil uncle to Lady Antivail. He is hellbent on taking over her kingdom and replacing his brother. It is later revealed that he is sick in the head and has attempts to slaughter his family just to get to the throne.,Kids,Kids,,,
Chapter 12 (Kids Version),Fairygood Weather,fairygood-weather,,Individual,published,Powerful fairy of the fourteen realms. She is the tallest fairy in Fairytale City and she uses her magic at times to prevent wars caused by those of which Fairytale City overlooks.,Kids,Kids,,,
Chapter 12 (Kids Version),Ruby Rhinestone,ruby-rhinestone,,Individual,published,"Ruby Rhinestone is the main character of the Prehistoria stories. Born to a middle-class family, Ruby is smart, fast, and have shown to be very strong similar to other residents of Prehistoria. Her adventures around Prehistoria are the basis of the Prehistoria stories.",Kids,Kids,,,
Chapter 12 (Kids Version),Abigale Diamond,abigale-diamond,,Individual,published,"Abigale is Ruby’s oldest friend and her closest ally. Her ancestors are responsible for prehistoric advances in technology including the wheel. Because of this, her family are some of the wealthiest and most inventive in Prehistoria. Her house is very large and while her family are the typical snobbish type, she is very down to earth.",Kids,Kids,,,
Chapter 12 (Kids Version),Lightning Stardust,lightning-stardust,,Individual,published,Stardust is a smart young android girl that hails from Adropia. One day her curious attitude led her to board her father’s experimental spacecraft. With it she crashes landed on a far away world shortly after coming cross the cosmic damage left by the Akuma. While stranded on Earth she lands in Ridlan City and befriends the Patricks.,Kids,Kids,,,
Chapter 12 (Kids Version),Stuart Patrick,stuart-patrick,,Individual,published,"Stuart Patrick, close friend to Lightning Stardust and brother of Chloe Patrick, who gave her the name Lightning before her actual name because of her lightning bolt shaped hairstyle. He is a fan of the stars and wishes one day to visit another world.",Kids,Kids,,,
Chapter 12 (Kids Version),Chloe Patrick,chloe-patrick,,Individual,published,"Chloe Patrick, close friend to Lightning Stardust and sister of Stuart Patrick. She is more steady head than her brother. One day she wants to be a detective and often helps Stardust on her mission to find a way back home.",Kids,Kids,,,
Chapter 12 (Kids Version),Gale Stardust,gale-stardust,,Individual,published,"Title: Mayor of Ridlan City

A loving albeit stern mother of the Patrick children, wife of Lloyd Patrick, and mayor of Ridlan City. She hides from everyone outside of her family of Stardust true nature.",Kids,Kids,,,
Chapter 12 (Kids Version),Vivienne Rachels,vivienne-rachels,,Individual,published,"Nosey neighbor of the Patricks, she is often very curious of Stardust and even has her daughter spy on her at school.",Kids,Kids,,,
Chapter 12 (Kids Version),Johanna Rachels,johanna-rachels,,Individual,published,"Daughter of Vivienne, she is just as suspicious of the Patricks and Stardust as her mother and together they spy on them.",Kids,Kids,,,
Chapter 12 (Kids Version),Principal Taylor Arnold,principal-taylor-arnold,,Individual,published,Stern principal but loving of his students and staff. He often finds himself at odds with the Patrick children and Stardust because of their often rebellious and secretive nature.,Kids,Kids,,,
Chapter 12 (Kids Version),PooPoo the Baby Dragon,poopoo-the-baby-dragon,,Individual,published,"PooPoo is a curious blue dragon that can freeze things with his wings. His family are revered amongst other dragon clans, however he tends to overlook this and befriend other baby dragons.",Kids,Kids,,,
Chapter 12 (Kids Version),GoGo the Fire Dragon,gogo-the-fire-dragon,,Individual,published,"GoGo the Fire Dragon is smart mouthed and fast, he is arrogant yet very loyal to his family and friends. He befriends PooPoo early in the PooPoo Baby Dragon story.",Kids,Kids,,,
Chapter 12 (Kids Version),Vein the Water Dragon,vein-the-water-dragon,,Individual,published,"Title: Princess of the Water Dragons

Vein the Water Dragon is powerful to be a baby dragon. She is very popular and heir to dragon kingdom. She met with Aqua and befriended her. She is also friend to the other baby dragons.",Kids,Kids,,,
Chapter 12 (Kids Version),Carus the Electric Dragon,carus-the-electric-dragon,,Individual,published,"Title: Descendant of the Storm Dragons

Carus the Electric Dragon, he has a crush on Vein and is the first to protect her whenever possible danger is near. He is the descendant of the Storm Dragons and often can create storms when is in distress. He is friends to the other baby dragons.",Kids,Kids,,,
Chapter 12 (Kids Version),Lady Spring,lady-spring,,Individual,published,"Title: Spirit of Easter and Spring

Lady Spring is daughter to Santiyline and next in line to become Mother Nature. She guards spring and her children are the spirits of springtime including Easter.",Kids,Kids,,,
Chapter 12 (Kids Version),Red Summer,red-summer,,Individual,published,"Title: Spirit of Freedom and 4th of July

Red Summer is a physical fit man who is the spirit of summertime and represents Fourth of July. He is strong and can emit fire. He is son of Vulkan.",Kids,Kids,,,
Chapter 12 (Kids Version),Nicholas Claus,nicholas-claus,,Individual,published,"Title: Santa Claus, Spirit of Christmas

Nicholas Claus is the spirit of Christmas and once shown the world his face before retreating to his home the North Pole. Here is more a sloth whose powers are weakened due to his brother.",Kids,Kids,,,
Chapter 12 (Kids Version),Love Valentine,love-valentine,,Individual,published,"Title: Spirit of Valentine’s Day

Love Valentine a beautiful spirit and daughter to Jessana. She is tall, has long red hair, and smells like cherries. She hovers over the ground and can cause any man to fall in love with her. She is often the annoyance of Autumn.",Kids,Kids,,,
Chapter 12 (Kids Version),Mother Harvest,mother-harvest,,Individual,published,"Mother of the harvest and powerful figure seen in ancient times. She is often seen as a young beautiful woman; however, she can also appear in another more wiser older form. Herself and Love Valentine, often are seen arguing with each other their respective beauty.",Kids,Kids,,,
Chapter 12 (Kids Version),Pumpkin King,pumpkin-king,,Individual,published,"Title: Spirit of Halloween

Father to Spitfire Pumpkin and son of Bewithia. He is a powerful warlock that created the holiday Halloween as a gift for his absent father Xshaun. He is brass, anxious, and hardheaded much like his son.",Kids,Kids,,,
Chapter 12 (Kids Version),Baby New Year,baby-new-year,,Individual,published,"Title: Spirit of New Year

Baby Newyear is loving figure and believed child of Jesus. He is smart although seen as a cocky adolescence. If he dies, many ancient stories state that there will be a dark year ahead.",Kids,Kids,,,
Chapter 12 (Kids Version),Jack Frost,jack-frost,,Individual,published,"Title: Santa Claus Brother

One of the two brothers to Santa Claus, Jack is a powerful being capable of controlling ice particles in the air and is responsible for most of winter lasting longer if he is angered.",Kids,Kids,,,
Chapter 12 (Kids Version),Krampus,krampus,,Individual,published,"Title: Spirit of Bad Christmas

A disrespectful and distrustful spirit that steals gifts from children. His anger over the years grew worse after being denied the power of the Claus’. Because of his betrayal against the other spirits, he was banished to the Shadow Realm. The holiday stories follow the saviors attempting to stop him from ending all holidays.",Kids,Kids,,,
Chapter 12 (Kids Version),Ms. Marienne Claus,ms-marienne-claus,,Individual,published,"Title: Ms. Claus

Wife of Santa Claus, Ms. Marienne Claus is a proud elf that first met her husband during a winter’s ball thrown by his parents. Her powers are very strong and it is because of her for the reason creatures in the North Pole are magical.",Kids,Kids,,,
Chapter 12 (Kids Version),Strawberry Darline,strawberry-darline,,Individual,published,"Title: Baker

Strawberry Darline is a smart, fun loving, and friendly girl that can make almost anything. She built her own bakery and is the joy to Melody Hills. She has met with the residents of Food Town, Candylane Village, Prehistoria, and a glimpse of the Holiday Saviors battle.",Kids,Kids,,,
Chapter 12 (Kids Version),Spitfire Pumpkin,spitfire-pumpkin,,Individual,published,"Title: Prince of Halloween

A carefree spirit that can controls souls. He is very curious of humans, so much so that he often travels to the human world to walk amongst them. He is the son of the Pumpkin King.",Kids,Kids,,,
